2000501,CON PDG PEACE CONF,3  ,C.F.                                                                            ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1100,CHULA,AR   ,STAFF                        ,06 JAN - 12 FEB 59  ,                    ,                    ,21 ,16/01/2559 20:00
2002650,ADV TOP ENG MGT II,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,50 ,16/01/2559 20:00
2002813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-      ,     ,IA   ,STAFF                        ,MODULE              ,                    ,                    ,100,16/01/2559 20:00
2003677,SEM GLOBAL GOVERN ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHALE,IA   ,STAFF                        ,GLOBAL STUDIES ONLY ,                    ,                    ,30 ,16/01/2559 20:00
2003677,SEM GLOBAL GOVERN ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHALE,IA   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2004601,RES MET ENV SCI   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1200,MHMK ,AR   ,KTK                          ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2004603,ENV MODELING      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1200,MHMK ,AR   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2004605,WETLAND ENV       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1600,MHMK ,AR   ,KPB                          ,WETLAND ENV         ,                    ,                    ,40 ,16/01/2559 20:00
2004606,SEL TOP ENVI SCI  ,2  ,C.F.                                                                            ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1330-1530,MHMK ,AR   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2004612,ADV AQUA ENV SCI  ,2  ,2004611                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1300-1500,MHMK ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2004622,ADV ATM ENV SCI   ,2  ,2004621                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1000-1200,MHMK ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2004632,ADV SOIL ENV SCI  ,2  ,2004631                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,MHMK ,AR   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2004641,NSE THERM RAD POLL,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0900-1200,MHMK ,AR   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2004702,SEMINAR II        ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,TU,  ,  ,  ,  ,  ,  ,1300-1600,MHMK ,AR   ,KPB                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2004813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA00  ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,140,16/01/2559 20:00
2004828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2004894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,MHMK ,IA   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2004897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2005705,RES MED MICRO     ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1100,O.P.R,1423 ,STAFF                        ,LETTER GRADE        ,                    ,                    ,40 ,16/01/2559 20:00
2005706,ORIENT MED MICRO  ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1000,O.P.R,1423 ,STAFF                        ,LETTER GRADE        ,                    ,                    ,40 ,16/01/2559 20:00
2005711,MED MICRO SEM II  ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,STAFF               ,                    ,                    ,30 ,16/01/2559 20:00
2005812,THESIS            ,15 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2005813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,                    ,                    ,                    ,45 ,16/01/2559 20:00
2005816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2005817,THESIS            ,40 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,                    ,                    ,                    ,45 ,16/01/2559 20:00
2005826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2005828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,ANAND,IA   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2005830,DISSERTATION      ,72 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2005894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2005897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,     ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
2006705,ADV PHARMACOL II  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-1200,     ,AR   ,STAFF                        ,PHARMACOLOGY        ,                    ,                    ,20 ,16/01/2559 20:00
2006706,MOL PHARMACOL     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1200,     ,AR   ,STAFF                        ,PHARMACOLOGY        ,                    ,                    ,20 ,16/01/2559 20:00
2006714,SEM PHARMACOL I   ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2006714,SEM PHARMACOL I   ,1  ,                                                                                ,          ,         ,          ,TDF      ,2  ,SMNA ,TH,  ,  ,  ,  ,  ,  ,1300-1400,     ,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2006715,SEM PHARMACOL II  ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,PHARMACOLOGY        ,                    ,                    ,20 ,16/01/2559 20:00
2006717,SEM PHARMACOL IV  ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,PHARMACOLOGY        ,                    ,                    ,20 ,16/01/2559 20:00
2006719,SEM PHARMACOL VI  ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,PHARMACOLOGY        ,                    ,                    ,20 ,16/01/2559 20:00
2006721,SEM PHARMACOL VIII,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,TH,  ,  ,  ,  ,  ,  ,1300-1400,     ,AR   ,STAFF                        ,PHARMACOLOGY        ,                    ,                    ,20 ,16/01/2559 20:00
2006722,NEW CON PHARMTHER ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0900-1200,     ,AR   ,STAFF                        ,PHARMACOLOGY        ,                    ,                    ,20 ,16/01/2559 20:00
2006725,TRENDS PHARMACOL  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0900-1200,     ,AR   ,STAFF                        ,PHARMACOLOGY        ,                    ,                    ,20 ,16/01/2559 20:00
2006726,SPEC PROJ I       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,MO,  ,  ,  ,  ,  ,  ,0900-1600,     ,AR   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2006727,SPEC PROJ II      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,PHARMACOLOGY        ,                    ,                    ,30 ,16/01/2559 20:00
2006728,EVAL LIT PHARMACOL,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1500,     ,AR   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2006812,THESIS            ,16 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,PHARMACOLOGY        ,                    ,                    ,30 ,16/01/2559 20:00
2006828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,PHARMACOLOGY        ,                    ,                    ,20 ,16/01/2559 20:00
2006894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2006894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1400,     ,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2006897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2007709,CUR TOPIC NEUROPHY,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2007710,INDIV STU NEUROPHY,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PYSIO,AR   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2007715,SEMINAR I         ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PYSIO,109  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2007716,SEMINAR II        ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PYSIO,109  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2007717,SEMINAR III       ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PYSIO,109  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2007718,SEMINAR IV        ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PYSIO,109  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2007719,SEM PHYSIOLOGY I  ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PADTA,922  ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2007720,SEM PHYSIOLOGY II ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PADTA,922  ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2007722,RES METH RES INST ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,     ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2007722,RES METH RES INST ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,     ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2007723,IND STU CARDIO PHY,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2007725,IND STU PHY ALIM  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2007727,CUR TOP PHYSIO    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2007800,MASTER THESIS SEM ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PADTA,922  ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2007811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2007826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PADTA,922  ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2007828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PYSIO,IA   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2007894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2007897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2008501,EVOL ART CUL      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,BRK  ,706  ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2008504,SEM CUL MGT       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,ARCH1,211  ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2008504,SEM CUL MGT       ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2008505,CUL MGT I         ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2008506,CUL MGT II        ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1800-2100,     ,AR   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2008506,CUL MGT II        ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2008507,COMM MKT CUL MGT  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,1800-2100,     ,AR   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2008508,RES METH CUL MGT  ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2008511,PROD MGT          ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,1800-2100,     ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2008511,PROD MGT          ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2008513,LAW/CUL MGT       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,1800-2100,     ,AR   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2008514,SP TOP CUL MGT    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,1800-2100,     ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2008518,EVOL ART ARCH CUL ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2008520,CUL TOUR DEV      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2008530,GAL MUSE MGT      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,ARCH1,211  ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2008531,CUL POL IND       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2008531,CUL POL IND       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2008542,COMM PSYCHOLOGY   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,1800-2100,     ,AR   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2008542,COMM PSYCHOLOGY   ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2008700,INDEPENDENT STUDY ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,1800-2100,     ,AR   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2008700,INDEPENDENT STUDY ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
