3000380,ALIMENTARY SYS II ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000381,URIN SYS II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,CHALE,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000381,URIN SYS II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000383,REPROD SYS II     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,CHALE,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000383,REPROD SYS II     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000384,CLIN NEUROSCIENCE ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,CHALE,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000384,CLIN NEUROSCIENCE ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,TUT  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,CHALE,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000386,CLIN IMMU IMMUCOMP,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,CHALE,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000386,CLIN IMMU IMMUCOMP,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,CHALE,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000388,PSYCHOPATHOLOGY   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,CHALE,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000388,PSYCHOPATHOLOGY   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,CHALE,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000390,RES MOL BIO GENE I,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PADTA,IA   ,STAFF                        ,3MED (SELECTIVE)    ,                    ,                    ,20 ,16/01/2559 20:00
3000392,LEARN SKILLS MED  ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,ANAND,IA   ,STAFF                        ,MED 3 (SELECTIVE)   ,                    ,                    ,8  ,16/01/2559 20:00
3000392,LEARN SKILLS MED  ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,ANAND,IA   ,STAFF                        ,                    ,                    ,                    ,8  ,16/01/2559 20:00
3000392,LEARN SKILLS MED  ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,ANAND,IA   ,STAFF                        ,                    ,                    ,                    ,8  ,16/01/2559 20:00
3000394,BAS MED SCI EXP   ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,ANAND,IA   ,STAFF                        ,3MED (SELECTIVE)    ,                    ,                    ,30 ,16/01/2559 20:00
3000396,HLTH PROM         ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,FWK  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,CHALE,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000403,FOUND DIAG RADIO  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,POSA ,IA   ,STAFF                        ,4MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000403,FOUND DIAG RADIO  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,POSA ,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3000403,FOUND DIAG RADIO  ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,POSA ,IA   ,STAFF                        ,4MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000403,FOUND DIAG RADIO  ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,POSA ,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3000403,FOUND DIAG RADIO  ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,4MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000403,FOUND DIAG RADIO  ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000403,FOUND DIAG RADIO  ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,4MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000403,FOUND DIAG RADIO  ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000403,FOUND DIAG RADIO  ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,4MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000403,FOUND DIAG RADIO  ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000405,NUC MED RADIO/ONCO,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,4MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000405,NUC MED RADIO/ONCO,1  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,4MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000405,NUC MED RADIO/ONCO,1  ,                                                                                ,          ,         ,          ,TDF      ,4  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,4MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000405,NUC MED RADIO/ONCO,1  ,                                                                                ,          ,         ,          ,TDF      ,5  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,4MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000405,NUC MED RADIO/ONCO,1  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,4MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000406,COM MED I         ,1  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,4MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000406,COM MED I         ,1  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,4MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000406,COM MED I         ,1  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,4MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000407,THEO FOREN MED    ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,4MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000407,THEO FOREN MED    ,1  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,4MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000407,THEO FOREN MED    ,1  ,                                                                                ,          ,         ,          ,TDF      ,3  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,IA   ,STAFF                        ,4MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000407,THEO FOREN MED    ,1  ,                                                                                ,          ,         ,          ,TDF      ,4  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,4MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000407,THEO FOREN MED    ,1  ,                                                                                ,          ,         ,          ,TDF      ,5  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,4MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000407,THEO FOREN MED    ,1  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,4MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000408,THEO MED          ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,OBROM,IA   ,STAFF                        ,4MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000408,THEO MED          ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,OBROM,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3000408,THEO MED          ,4  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,OBROM,IA   ,STAFF                        ,4MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000408,THEO MED          ,4  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,OBROM,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3000408,THEO MED          ,4  ,                                                                                ,          ,         ,          ,TDF      ,4  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,4MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000408,THEO MED          ,4  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000408,THEO MED          ,4  ,                                                                                ,          ,         ,          ,TDF      ,5  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,4MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000408,THEO MED          ,4  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000408,THEO MED          ,4  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,4MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000408,THEO MED          ,4  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000410,SKIL MED I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SVAS ,IA   ,STAFF                        ,4MED                ,                    ,                    ,100,16/01/2559 20:00
3000410,SKIL MED I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SVAS ,IA   ,STAFF                        ,4MED                ,                    ,                    ,100,16/01/2559 20:00
3000410,SKIL MED I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,4MED                ,                    ,                    ,50 ,16/01/2559 20:00
3000410,SKIL MED I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,4MED                ,                    ,                    ,50 ,16/01/2559 20:00
3000410,SKIL MED I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,4MED                ,                    ,                    ,50 ,16/01/2559 20:00
3000412,CLIN MED I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,OBROM,IA   ,STAFF                        ,4MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000412,CLIN MED I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,OBROM,IA   ,STAFF                        ,4MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000412,CLIN MED I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,4MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000412,CLIN MED I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,4MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000412,CLIN MED I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,4MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000413,THEO PED I        ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,4MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000413,THEO PED I        ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3000413,THEO PED I        ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3000413,THEO PED I        ,4  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,4MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000413,THEO PED I        ,4  ,                                                                                ,          ,         ,          ,TDF      ,2  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3000413,THEO PED I        ,4  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3000413,THEO PED I        ,4  ,                                                                                ,          ,         ,          ,TDF      ,4  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,4MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000413,THEO PED I        ,4  ,                                                                                ,          ,         ,          ,TDF      ,4  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000413,THEO PED I        ,4  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000413,THEO PED I        ,4  ,                                                                                ,          ,         ,          ,TDF      ,5  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,4MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000413,THEO PED I        ,4  ,                                                                                ,          ,         ,          ,TDF      ,5  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000413,THEO PED I        ,4  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000413,THEO PED I        ,4  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,4MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000413,THEO PED I        ,4  ,                                                                                ,          ,         ,          ,TDF      ,6  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000413,THEO PED I        ,4  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000415,THEO PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,4MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000415,THEO PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3000415,THEO PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,4MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000415,THEO PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3000415,THEO PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,4MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
3000415,THEO PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000415,THEO PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,4MED (CHAN)         ,                    ,                    ,50 ,16/01/2559 20:00
3000415,THEO PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHAN ,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000415,THEO PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,4MED (BHUMIBOL HOSP),                    ,                    ,50 ,16/01/2559 20:00
3000415,THEO PED II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,KUMKL,IA   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3000416,SKIL PED I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,4MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000416,SKIL PED I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,SK   ,IA   ,STAFF                        ,4MED (CHULA)        ,                    ,                    ,100,16/01/2559 20:00
3000416,SKIL PED I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CHOL ,IA   ,STAFF                        ,4MED (CHOL)         ,                    ,                    ,50 ,16/01/2559 20:00
