3700104,INT HC NEW GEN    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1200,CUP13,308  ,STAFF                        ,GENED-SC            ,                    ,                    ,200,16/01/2559 20:00
3742526,CLIN BIOMECH      ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1000-1100,CUP2A,225  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3742532,PRAC APP THER EX  ,1  ,COREQ 3742531                                                                   ,          ,         ,          ,TDF      ,1  ,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CUP2 ,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3742541,CLIN NEURO ASS PT ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1000-1200,CUP2A,231  ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3742541,CLIN NEURO ASS PT ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,TH,  ,  ,  ,  ,  ,  ,1300-1600,CUP2A,231  ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3742541,CLIN NEURO ASS PT ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1000-1200,CUP2A,231  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3742541,CLIN NEURO ASS PT ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,TH,  ,  ,  ,  ,  ,  ,1300-1600,CUP2A,231  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3742543,ADV NEURO PT      ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-1000,CUP2A,231  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3742543,ADV NEURO PT      ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,0900-1200,CUP2A,231  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3742562,ADV DEV ASS       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,L/P  ,TU,  ,  ,  ,  ,  ,  ,1300-1600,CUP2A,225  ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3742562,ADV DEV ASS       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1000-1200,CUP2A,225  ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3742566,ADV PED PT        ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0800-0900,CUP2A,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3742566,ADV PED PT        ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,0900-1200,CUP2A,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3742606,MVT GAIT ANAL     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0800-0900,CUP2A,225  ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3742606,MVT GAIT ANAL     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,TH,  ,  ,  ,  ,  ,  ,0900-1200,CUP2A,225  ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3742609,DIAG MGT ANK FOOT ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1500-1700,CUP2A,231  ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3742609,DIAG MGT ANK FOOT ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1400-1700,CUP2A,231  ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3742811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP2A,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3742816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP2A,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3742828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP2A,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3742829,DISSERTATION      ,60 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP2A,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3742830,DISSERTATION      ,72 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP2A,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3742894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,MO,  ,  ,  ,  ,  ,  ,1300-1500,CUP2A,222  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3742897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP2A,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3743204,ENERGY BALANCE    ,3  ,3742103                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,SA,  ,  ,  ,  ,  ,  ,0900-1200,CUP3A,3102 ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3743205,NUTR WT CONT      ,3  ,3743204                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,SA,  ,  ,  ,  ,  ,  ,0900-1200,CUP3A,3102 ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3743206,BEHAV MOD WT CONT ,2  ,37432053742104                                                                 ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CUP3A,3102 ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00,16/01/2559 20:00
3743207,BSC PRIN NUTR DIET,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0900-1200,CUP3A,3102 ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3743301,BIOCHEM NUTR      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1600,CUP3A,AR   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3743312,CULINARY DIET     ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1400-1700,CUP3A,3102 ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3743313,BSC COMP STAT DIET,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1600,CUP3A,3102 ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3743314,RES METH          ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,CUP3A,3102 ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3743315,FOOD SAFETY       ,1  ,CONCUR 3743316                                                                  ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1000,CUP3A,3102 ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
3743316,FOOD SAFETY LAB   ,1  ,CONCUR 3743315                                                                  ,          ,         ,          ,TDF      ,1  ,LAB  ,MO,  ,  ,  ,  ,  ,  ,1000-1100,CUP3A,3302 ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
