3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,L/P  ,FR,  ,  ,  ,  ,  ,  ,0800-1000,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,7  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,8  ,L/P  ,FR,  ,  ,  ,  ,  ,  ,0800-1000,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,8  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,9  ,L/P  ,FR,  ,  ,  ,  ,  ,  ,0800-1000,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,9  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200102,BIOETHICS         ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,1  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200102,BIOETHICS         ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,10 ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200102,BIOETHICS         ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,11 ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200102,BIOETHICS         ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,12 ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200102,BIOETHICS         ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,13 ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200102,BIOETHICS         ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,14 ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200102,BIOETHICS         ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,2  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200102,BIOETHICS         ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,3  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200102,BIOETHICS         ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,4  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200102,BIOETHICS         ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,5  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200102,BIOETHICS         ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,6  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200102,BIOETHICS         ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,7  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200102,BIOETHICS         ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,8  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200102,BIOETHICS         ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,9  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200103,COM APP PROF      ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,1  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,515  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200103,COM APP PROF      ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,10 ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,515  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200103,COM APP PROF      ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,11 ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,515  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200103,COM APP PROF      ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,12 ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,515  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200103,COM APP PROF      ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,13 ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,515  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200103,COM APP PROF      ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,14 ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,515  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200103,COM APP PROF      ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,2  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,515  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200103,COM APP PROF      ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,3  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,515  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200103,COM APP PROF      ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,4  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,515  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200103,COM APP PROF      ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,5  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,515  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200103,COM APP PROF      ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,6  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,515  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200103,COM APP PROF      ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,7  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,515  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200103,COM APP PROF      ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,8  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,515  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200103,COM APP PROF      ,1  ,C.F.                                                                            ,          ,         ,          ,TDF      ,9  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,515  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200104,CELL BIOLOGY      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1300-1500,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,140,16/01/2559 20:00
3200105,MOL BIO           ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0800-0900,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,140,16/01/2559 20:00
3200106,FUND ORAL BIO HLTH,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,210  ,STAFF                        ,                    ,                    ,                    ,120,16/01/2559 20:00
3200109,CALCIUM HLTH      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1600,DEN16,515  ,STAFF                        ,                    ,                    ,                    ,70 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,10 ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,10 ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,11 ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,11 ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,12 ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,12 ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,13 ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,13 ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,14 ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,14 ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,3  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,3  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,7  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,7  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,8  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,8  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,9  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200201,PROF DEV II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,9  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200202,BIO/DENT SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1400-1600,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200202,BIO/DENT SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,10 ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1400-1600,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200202,BIO/DENT SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,11 ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1400-1600,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200202,BIO/DENT SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,12 ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1400-1600,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200202,BIO/DENT SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,13 ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1400-1600,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200202,BIO/DENT SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,14 ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1400-1600,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200202,BIO/DENT SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1400-1600,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200202,BIO/DENT SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,3  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1400-1600,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200202,BIO/DENT SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1400-1600,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200202,BIO/DENT SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1400-1600,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200202,BIO/DENT SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1400-1600,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200202,BIO/DENT SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,7  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1400-1600,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200202,BIO/DENT SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,8  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1400-1600,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200202,BIO/DENT SCI I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,9  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1400-1600,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200207,HUMAN BODY II     ,3  ,COREQ 3200208                                                                   ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1000-1200,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,140,16/01/2559 20:00
3200207,HUMAN BODY II     ,3  ,COREQ 3200208                                                                   ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0800-0900,DEN16,208  ,STAFF                        ,                    ,                    ,                    ,140,16/01/2559 20:00
3200208,HUMAN BODY LAB II ,1  ,COREQ 3200207                                                                   ,          ,         ,          ,TDF      ,1  ,LAB  ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN14,609  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200208,HUMAN BODY LAB II ,1  ,COREQ 3200207                                                                   ,          ,         ,          ,TDF      ,10 ,LAB  ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN14,609  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200208,HUMAN BODY LAB II ,1  ,COREQ 3200207                                                                   ,          ,         ,          ,TDF      ,11 ,LAB  ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN14,609  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200208,HUMAN BODY LAB II ,1  ,COREQ 3200207                                                                   ,          ,         ,          ,TDF      ,12 ,LAB  ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN14,609  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200208,HUMAN BODY LAB II ,1  ,COREQ 3200207                                                                   ,          ,         ,          ,TDF      ,13 ,LAB  ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN14,609  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200208,HUMAN BODY LAB II ,1  ,COREQ 3200207                                                                   ,          ,         ,          ,TDF      ,14 ,LAB  ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN14,609  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200208,HUMAN BODY LAB II ,1  ,COREQ 3200207                                                                   ,          ,         ,          ,TDF      ,2  ,LAB  ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN14,609  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200208,HUMAN BODY LAB II ,1  ,COREQ 3200207                                                                   ,          ,         ,          ,TDF      ,3  ,LAB  ,TU,  ,  ,  ,  ,  ,  ,1300-1600,DEN14,609  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
