3100507,VET SOC           ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,OCS                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
3103714,BIOSTAT ANL SCI   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,WE,  ,  ,  ,  ,  ,  ,1000-1200,VET6 ,IA   ,CKV                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3103715,EXPT DSGN ANL VET ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0900-1200,VET6 ,IA   ,STR                          ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3103741,ADV ANL NUTR II   ,2  ,3141209                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3103742,ANL FEED MFG      ,2  ,3141209                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1100,VET6 ,IA   ,HPM                          ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3103743,EVAL TECH FEED    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3103743,EVAL TECH FEED    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,MO,  ,  ,  ,  ,  ,  ,1400-1600,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3103743,EVAL TECH FEED    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3103745,SEM ANL NUTR II   ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3103746,SEM ANL NUTR      ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3103749,NUTR MET DIS ANL  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,1  ,16/01/2559 20:00
3103750,PET NUTR          ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1100,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3103751,RUM NUTR          ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3103811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,15 ,16/01/2559 20:00
3104304,SYS VET PHARMACOL ,4  ,3104303                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1400-1600,VET6 ,201  ,STAFF                        ,VET                 ,                    ,                    ,105,16/01/2559 20:00
3104304,SYS VET PHARMACOL ,4  ,3104303                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1000-1200,VET6 ,201  ,STAFF                        ,                    ,                    ,                    ,105,16/01/2559 20:00
3104305,VET TOXICOL       ,2  ,3104303                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1000-1200,VET6 ,201  ,STAFF                        ,VET                 ,                    ,                    ,105,16/01/2559 20:00
3104813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,NDV                          ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3105335,SYS VET PATHOL    ,4  ,3105334                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0800-0900,VET6 ,201  ,STAFF                        ,VET                 ,                    ,                    ,105,16/01/2559 20:00
3105335,SYS VET PATHOL    ,4  ,3105334                                                                         ,          ,         ,          ,TDF      ,1  ,LAB  ,MO,  ,  ,  ,  ,  ,  ,0900-1200,VET6 ,601  ,STAFF                        ,                    ,                    ,                    ,105,16/01/2559 20:00
3105336,VET HEMATOL CYTOL ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0800-0900,VET6 ,201  ,STAFF                        ,VET                 ,                    ,                    ,105,16/01/2559 20:00
3105336,VET HEMATOL CYTOL ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,TH,  ,  ,  ,  ,  ,  ,0900-1200,VET6 ,601  ,STAFF                        ,                    ,                    ,                    ,105,16/01/2559 20:00
3105337,VET ENTOMOL ACAROL,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1300-1400,VET6 ,201  ,STAFF                        ,VET                 ,                    ,                    ,105,16/01/2559 20:00
3105337,VET ENTOMOL ACAROL,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,FR,  ,  ,  ,  ,  ,  ,1400-1700,VET6 ,602  ,STAFF                        ,                    ,                    ,                    ,105,16/01/2559 20:00
3105338,VET HELMINTHOL    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,VET6 ,201  ,STAFF                        ,VET                 ,                    ,                    ,105,16/01/2559 20:00
3105338,VET HELMINTHOL    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,MO,  ,  ,  ,  ,  ,  ,1400-1700,VET6 ,602  ,STAFF                        ,                    ,                    ,                    ,105,16/01/2559 20:00
3105339,VET PROTOZOOL     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1400,VET6 ,201  ,STAFF                        ,VET                 ,                    ,                    ,105,16/01/2559 20:00
3105339,VET PROTOZOOL     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,TU,  ,  ,  ,  ,  ,  ,1400-1700,VET6 ,601  ,STAFF                        ,                    ,                    ,                    ,105,16/01/2559 20:00
3105711,SPEC TOP VET PATH ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3105711,SPEC TOP VET PATH ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3105713,PATH LAB ANI      ,2  ,31054053105406,3105508,COREQ 3105601,3105602,CONCUR 3105700,3105701,310        ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0800-0900,VET4 ,IA   ,SPP                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00,16/01/2559 20:00
3105713,PATH LAB ANI      ,2  ,31054053105406,3105508,COREQ 3105601,3105602,CONCUR 3105700,3105701,310        ,          ,         ,          ,TDF      ,1  ,LAB  ,MO,  ,  ,  ,  ,  ,  ,0900-1200,VET6 ,IA   ,SPP                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00,16/01/2559 20:00
3105714,ADV CLI VET PATH  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3105714,ADV CLI VET PATH  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3105716,SEM VET PATH II   ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3105718,POSTMORT PATH II  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
